sampleID,treatmentID.x,species,ironconc,temp,C_Cell,N_Cell
min-10-26-1,min-10-26,min,10,26,0.015354851,0.002130577
min-10-26-2,min-10-26,min,10,26,0.014026501,0.001909992
min-10-26-3,min-10-26,min,10,26,0.014032402,0.001977293
min-10-28-1,min-10-28,min,10,28,0.012497925,0.00166805
min-10-28-2,min-10-28,min,10,28,0.013704765,0.001827302
min-10-28-3,min-10-28,min,10,28,0.010606808,0.001430686
min-100-26-1,min-100-26,min,100,26,0.012755737,0.001681196
min-100-26-2,min-100-26,min,100,26,0.013074713,0.001752874
min-100-26-3,min-100-26,min,100,26,0.012131732,0.001829612
min-100-28-1,min-100-28,min,100,28,0.017431193,0.002118829
min-100-28-2,min-100-28,min,100,28,0.015944964,0.002032407
min-100-28-3,min-100-28,min,100,28,0.01602908,0.00203275
min-100-30-1,min-100-30,min,100,30,0.0114917,0.00183201
min-100-30-2,min-100-30,min,100,30,0.011979407,0.001881064
min-100-30-3,min-100-30,min,100,30,,
min-50-26-1,min-50-26,min,50,26,0.013708013,0.001914055
min-50-26-2,min-50-26,min,50,26,0.014732143,0.002025261
min-50-26-3,min-50-26,min,50,26,0.013404381,0.001951596
min-50-28-1,min-50-28,min,50,28,0.015641192,0.00189443
min-50-28-2,min-50-28,min,50,28,0.017111111,0.002088889
min-50-28-3,min-50-28,min,50,28,0.01658222,0.002049747
min-50-30-1,min-50-30,min,50,30,0.00818531,0.001008161
min-50-30-2,min-50-30,min,50,30,0.008700237,0.00145004
min-50-30-3,min-50-30,min,50,30,0.009637324,0.001531164
psyg-10-26-1,psyg-10-26,psyg,10,26,0.017250373,0.002496274
psyg-10-26-2,psyg-10-26,psyg,10,26,0.012504847,0.001890268
psyg-10-26-3,psyg-10-26,psyg,10,26,0.014232503,0.002146638
psyg-10-28-1,psyg-10-28,psyg,10,28,0.01949485,0.002501226
psyg-10-28-2,psyg-10-28,psyg,10,28,0.017127907,0.002197674
psyg-10-28-3,psyg-10-28,psyg,10,28,0.011629576,0.001363963
psyg-100-26-1,psyg-100-26,psyg,100,26,0.019837418,0.002911915
psyg-100-26-2,psyg-100-26,psyg,100,26,0.018654292,0.00274942
psyg-100-26-3,psyg-100-26,psyg,100,26,0.021154263,0.003287047
psyg-100-28-1,psyg-100-28,psyg,100,28,0.021126761,0.002640845
psyg-100-28-2,psyg-100-28,psyg,100,28,0.020511522,0.002506964
psyg-100-28-3,psyg-100-28,psyg,100,28,0.020491991,0.002540046
psyg-100-30-1,psyg-100-30,psyg,100,30,0.010298869,0.001211632
psyg-100-30-2,psyg-100-30,psyg,100,30,0.013510156,0.001490776
psyg-100-30-3,psyg-100-30,psyg,100,30,0.016687042,0.002108802
psyg-50-26-1,psyg-50-26,psyg,50,26,0.023455909,0.002838272
psyg-50-26-2,psyg-50-26,psyg,50,26,0.026309408,0.003091659
psyg-50-26-3,psyg-50-26,psyg,50,26,0.024408965,0.002878416
psyg-50-28-1,psyg-50-28,psyg,50,28,0.020129488,0.002383755
psyg-50-28-2,psyg-50-28,psyg,50,28,0.02263706,0.002800157
psyg-50-28-3,psyg-50-28,psyg,50,28,0.018731194,0.002306921
psyg-50-30-1,psyg-50-30,psyg,50,30,,
psyg-50-30-2,psyg-50-30,psyg,50,30,0.016676928,0.001955601
psyg-50-30-3,psyg-50-30,psyg,50,30,0.01426542,0.001716586
